checkpoint,task,target_attr,sensitive_attr,method,group_balance,method_label,split,n_samples,bootstrap_total,bootstrap_seeds,group0_name,group1_name,group2_name,group3_name,point_overall_acc,point_wga,point_eqodd,point_worst_group_id,point_worst_group_name,point_acc_g0,point_acc_g1,point_acc_g2,point_acc_g3,overall_acc_mean,overall_acc_ci_low,overall_acc_ci_high,wga_mean,wga_ci_low,wga_ci_high,eqodd_mean,eqodd_ci_low,eqodd_ci_high,acc_g0_mean,acc_g0_ci_low,acc_g0_ci_high,acc_g1_mean,acc_g1_ci_low,acc_g1_ci_high,acc_g2_mean,acc_g2_ci_low,acc_g2_ci_high,acc_g3_mean,acc_g3_ci_low,acc_g3_ci_high
best_baseline_Blond_Hair_vs_Male_wga.pt,BlondHair_Male,Blond_Hair,Male,ERM,none,Baseline (ERM),test,19962,5000,5;17;29;41;53,NonBlond_Female,NonBlond_Male,Blond_Female,Blond_Male,0.9538623384430418,0.3888888888888889,0.501836917562724,3,Blond_Male,0.949831063786219,0.993364299933643,0.8907258064516129,0.3888888888888889,0.9538594629796613,0.9509568179541128,0.9568179541128143,0.38940371440529326,0.3199896907216495,0.46236559139784944,0.5013476917826126,0.42833549671718246,0.5723365376124603,0.9497960591294861,0.9453563260858758,0.9542203772815192,0.9933613205077734,0.9914686743696894,0.9951694215116448,0.8907514061879059,0.878222226428987,0.9026993053934822,0.38940371440529326,0.3199896907216495,0.46236559139784944
best_baseline_Mouth_Slightly_Open_vs_Smiling_wga.pt,MouthOpen_Smiling,Mouth_Slightly_Open,Smiling,ERM,none,Baseline (ERM),test,19962,5000,5;17;29;41;53,MouthClosed_NonSmiling,MouthClosed_Smiling,MouthOpen_NonSmiling,MouthOpen_Smiling,0.931519887786795,0.7845057880676759,0.19336510364372905,2,MouthOpen_NonSmiling,0.9375080864277396,0.9017021276595745,0.7845057880676759,0.977870891711405,0.9315148983067829,0.9280132251277428,0.9349777076445246,0.7844046585801222,0.7676087931807986,0.8008146609488073,0.1934913618339347,0.1768289725295667,0.21045222922396176,0.9374911044508699,0.9320185896640054,0.9429163894631329,0.9016262656211118,0.8892567012969574,0.9136161128750743,0.7844046585801222,0.7676087931807986,0.8008146609488073,0.9778960204140571,0.9745322245322245,0.9811272252713132
best_FSC_none_Blond_Hair_Male_wga.pt,BlondHair_Male,Blond_Hair,Male,FSC,none,FSC (Unbalanced),test,19962,5000,5;17;29;41;53,NonBlond_Female,NonBlond_Male,Blond_Female,Blond_Male,0.953211101092075,0.4111111111111111,0.46792114695340503,3,Blond_Male,0.9528002457254019,0.9911081619110816,0.8790322580645161,0.4111111111111111,0.9532091073038775,0.9503544234044685,0.9561679691413686,0.4114127783630686,0.3416149068322981,0.4842105263157895,0.46766983922632044,0.39302867531407615,0.5399655394607042,0.9527678839005143,0.9483837215206457,0.9571371027237583,0.9911016746693804,0.9888578382706281,0.9932064311980987,0.879082617589389,0.8659327736330005,0.8917914158325319,0.4114127783630686,0.3416149068322981,0.4842105263157895
best_FSC_none_Mouth_Slightly_Open_Smiling_wga.pt,MouthOpen_Smiling,Mouth_Slightly_Open,Smiling,FSC,none,FSC (Unbalanced),test,19962,5000,5;17;29;41;53,MouthClosed_NonSmiling,MouthClosed_Smiling,MouthOpen_NonSmiling,MouthOpen_Smiling,0.929616270914738,0.8000890471950134,0.17647242982475875,2,MouthOpen_NonSmiling,0.9288394358908009,0.9034042553191489,0.8000890471950134,0.9765614770197721,0.929608075343152,0.9260595130748422,0.9331730287546338,0.799917967674165,0.783941586634911,0.8160507879478782,0.176672862882873,0.15985685921070852,0.1930803527847617,0.9288398803876967,0.9230567563026078,0.9345472258472907,0.9033096642669909,0.891101594201837,0.9153395343341819,0.799917967674165,0.783941586634911,0.8160507879478782,0.976590830557038,0.9731880278496643,0.9799309545004159
best_FSC_oversampling_Blond_Hair_Male_wga.pt,BlondHair_Male,Blond_Hair,Male,FSC,oversampling,FSC (Oversampling),test,19962,5000,5;17;29;41;53,NonBlond_Female,NonBlond_Male,Blond_Female,Blond_Male,0.9175934275122734,0.8555555555555555,0.09404121863799286,3,Blond_Male,0.9058052626190233,0.9238221632382216,0.9495967741935484,0.8555555555555555,0.9175829476004408,0.9136359082256287,0.9214006612563871,0.8552744678626039,0.8021739130434783,0.9033893976642347,0.09410310850502494,0.04330508821407675,0.14802698357549496,0.9057789006759418,0.8999273697400969,0.9115966502507444,0.9238314539190212,0.9178021837342761,0.9297220314969319,0.9495870496194355,0.9410576898130008,0.9577525364353752,0.8554907721491217,0.8021739130434783,0.9060773480662984
best_FSC_oversampling_Mouth_Slightly_Open_Smiling_wga.pt,MouthOpen_Smiling,Mouth_Slightly_Open,Smiling,FSC,oversampling,FSC (Oversampling),test,19962,5000,5;17;29;41;53,MouthClosed_NonSmiling,MouthClosed_Smiling,MouthOpen_NonSmiling,MouthOpen_Smiling,0.9255084660855626,0.8722172751558326,0.0987137186899184,2,MouthOpen_NonSmiling,0.8961055764005693,0.925531914893617,0.8722172751558326,0.970930993845751,0.9255131349564172,0.9219517082456667,0.9290652239254583,0.8721409049687152,0.8584184460096719,0.8852756901290667,0.09880337086960427,0.08502873730894327,0.11315735373811318,0.8961097794104284,0.8893551892014303,0.9029028279475844,0.9255364760478746,0.914819401559411,0.9359307972790784,0.872144440654788,0.8584184460096719,0.8852756901290667,0.9709478115243922,0.967004267025743,0.9746619459406236
best_FSC_reweighting_Blond_Hair_Male_wga.pt,BlondHair_Male,Blond_Hair,Male,FSC,reweighting,FSC (Reweighting),test,19962,5000,5;17;29;41;53,NonBlond_Female,NonBlond_Male,Blond_Female,Blond_Male,0.9069231539925859,0.8666666666666667,0.08534946236559138,3,Blond_Male,0.8972048735538036,0.9056403450564035,0.9520161290322581,0.8666666666666667,0.906935206893097,0.9028654443442541,0.9109307684600741,0.8654058385525172,0.8153846153846154,0.8994476166881471,0.0852743106581254,0.035845379712119256,0.13824335962705642,0.8971919221664589,0.8911124052027357,0.9033258204872974,0.905677326750835,0.8989349435291929,0.9122440487638243,0.952043343467085,0.9436102386895332,0.960196236899229,0.8667746998709969,0.8153846153846154,0.9153458895996209
best_FSC_reweighting_Mouth_Slightly_Open_Smiling_wga.pt,MouthOpen_Smiling,Mouth_Slightly_Open,Smiling,FSC,reweighting,FSC (Reweighting),test,19962,5000,5;17;29;41;53,MouthClosed_NonSmiling,MouthClosed_Smiling,MouthOpen_NonSmiling,MouthOpen_Smiling,0.9245566576495341,0.8704363312555654,0.10507761401090043,2,MouthOpen_NonSmiling,0.8927416224608616,0.9153191489361702,0.8704363312555654,0.9755139452664658,0.924565484420399,0.9209498046287947,0.9282136058511171,0.87039407117814,0.8565056733353239,0.8835432497627835,0.1051191065395376,0.09149187770469068,0.11907073636759473,0.8927646080498078,0.8857922930769413,0.8997132489444906,0.9153007522197968,0.9035879128387038,0.9265639257872458,0.8704000122627528,0.8565056733353239,0.8835467627309709,0.9755191188022901,0.9719332196273943,0.978930057140489
